2026-04-17 14:01:05 INFO  Utils:112 - [TestNG] Running:
  C:\Users\HP\eclipse-workspace\SeleniumAutomationPracticeSDET\OpencartV121\master.xml

2026-04-17 14:01:08 INFO  TC001_AccountRegistrationTest:16 - **** Starting TC001_AccountRegistrationTest ****
2026-04-17 14:01:08 INFO  TC001_AccountRegistrationTest:23 - Clicked on MyAccount Link
2026-04-17 14:01:08 INFO  TC001_AccountRegistrationTest:26 - Clicked on Register Link
2026-04-17 14:01:08 INFO  TC001_AccountRegistrationTest:32 - Providing customer details....
2026-04-17 14:01:11 INFO  TC001_AccountRegistrationTest:48 - Validation expected message..
2026-04-17 14:01:11 INFO  TC001_AccountRegistrationTest:61 - ***** Finished TC001_AccountRegistrationTest *****
2026-04-17 14:01:14 INFO  TC002_LoginTest:18 - *****Starting TC002_LoginTest*****
2026-04-17 14:01:16 INFO  TC002_LoginTest:46 - *****Finished TC_002_LoginTest*****
